Filme,País,Ano,Tempo,Meu_Rating,Outlier_t,Genero,Animação,Rating_Geral
Alice in Wonderland,USA,2010,108,3.5,0,Fantasia,0,3.1
Como Treinar Seu Dragão,USA,2010,98,4.5,0,Fantasia,1,4
Diário de Um Banana,USA,2010,92,3.5,0,Comédia,0,3.2
Homem de Ferro 2,USA,2010,124,2,0,Ação,0,2.9
Shrek Para Sempre: O Capítulo Final,USA,2010,93,2,0,Fantasia,1,2.9
Meu Malvado Favorito,USA,2010,95,4,0,Comédia,1,3.6
Gente Grande,USA,2010,102,1.5,0,Comédia,0,3.1
16 Wishes,USA,2010,90,2.5,0,Fantasia,0,2.7
Inception,GBR,2010,148,3,0,Ação,0,4.2
Tinker Bell e o Resgate da Fada,USA,2010,76,3,0,Fantasia,1,3.2
Black Swan,USA,2010,109,5,0,Thriller,0,4.2
Barbie: A Fashion Fairytale,USA,2010,79,5,0,Fantasia,1,3.7
Megamente,USA,2010,96,4,0,Ação,1,3.7
Harry Potter and the Deathly Hallows: Part 1,GBR,2010,146,NA,0,Fantasia,0,3.7
Enrolados,USA,2010,100,5,0,Fantasia,1,4
TRON: Legacy,USA,2010,125,NA,0,Ação,0,3.2
As Viagens de Gulliver,USA,2010,85,3,0,Aventura,0,2.1
Bir Zamanlar Anadolu'da,TUR,2011,163,2.5,0,Drama,0,4.1
Drive,USA,2011,100,3.5,0,Thriller,0,3.9
Beverly Hills Chihuahua 2,USA,2011,84,2,0,Comédia,0,2.3
Barbie: A Fairy Secret,USA,2011,72,4,0,Fantasia,1,3.6
Best Player,USA,2011,89,NA,0,Comédia,0,2.4
Diário de um Banana 2: Rodrick é o Cara,USA,2011,99,5,0,Comédia,0,3.6
Rio,USA,2011,96,4,0,Aventura,1,3.3
Sharpay’s Fabulous Adventure,CAN,2011,90,NA,0,Musical,0,2.6
Kung Fu Panda 2,USA,2011,91,NA,0,Comédia,1,3.7
Mr. Popper’s Penguins,USA,2011,94,3,0,Comédia,0,2.6
Harry Potter and the Deathly Hallows: Part 2,GBR,2011,130,NA,0,Fantasia,0,4
Phineas e Ferb: O Filme: Através da 2ª Dimensão,USA,2011,78,4,0,Aventura,1,3.6
Historias Cruzadas,USA,2011,146,4.5,0,Drama,0,3.9
Barbie: Princess Charm School,CAN,2011,79,4,0,Fantasia,1,3.9
Johnny English Reborn,GBR,2011,101,4,0,Comédia,0,2.9
Puss in Boots,USA,2011,90,3.5,0,Fantasia,1,3.1
Johnny Bravo Goes to Bollywood,IND,2011,72,NA,0,Comédia,1,3.2
The Cabin in the Woods,USA,2011,95,3,0,Terror,0,3.4
Alvin e os Esquilos 3,USA,2011,87,1,0,Fantasia,0,2.3
The Smurfs,USA,2011,103,3,0,Aventura,1,2.3
Carros 2,USA,2011,106,3,0,Comédia,1,2.8
Rise of the Guardians,USA,2012,97,2,0,Fantasia,1,3.5
Radio Rebel,USA,2012,90,3,0,Comédia,0,2.2
